@relation trafico

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute cantidad numeric
@attribute lluvia {si, no}

@data
Domingo,Marzo,23,Festivo,1916,si
Lunes,Marzo,24,Laboral,1029,no
Martes,Marzo,24,Laboral,1091,no
Miércoles,Marzo,24,Laboral,1170,no
Jueves,Marzo,24,Laboral,791,no
Viernes,Marzo,24,Laboral,1986,si
Sábado,Marzo,24,Víspera,1811,si
Domingo,Marzo,24,Festivo,707,si
Lunes,Marzo,1,,594,si
Martes,Marzo,1,,635,no
Miércoles,Marzo,1,,803,si
Jueves,Marzo,1,,706,si
Viernes,Marzo,1,,1066,no
Sábado,Marzo,1,,1805,no
Domingo,Marzo,1,,2720,no
Lunes,Marzo,2,,317,si
Martes,Marzo,2,,320,no
Miércoles,Marzo,2,,365,si
Jueves,Marzo,2,,376,si
Viernes,Marzo,2,,541,no
Sábado,Marzo,2,,1056,no
Domingo,Marzo,2,,2133,no
Lunes,Marzo,3,,184,si
Martes,Marzo,3,,210,no
Miércoles,Marzo,3,,223,si
Jueves,Marzo,3,,209,si
Viernes,Marzo,3,,305,no
Sábado,Marzo,3,,774,no
Domingo,Marzo,3,,1644,no
Lunes,Marzo,4,,190,si
Martes,Marzo,4,,209,no
Miércoles,Marzo,4,,202,si
Jueves,Marzo,4,,200,si
Viernes,Marzo,4,,295,no
Sábado,Marzo,4,,508,no
Domingo,Marzo,4,,1076,no
Lunes,Marzo,5,,356,si
Martes,Marzo,5,,377,no
Miércoles,Marzo,5,,372,si
Jueves,Marzo,5,,411,si
Viernes,Marzo,5,,457,no
Sábado,Marzo,5,,493,no
Domingo,Marzo,5,,883,no
Lunes,Marzo,6,,1389,si
Martes,Marzo,6,,1420,no
Miércoles,Marzo,6,,1366,si
Jueves,Marzo,6,,1536,si
Viernes,Marzo,6,,1501,no
Sábado,Marzo,6,,1044,no
Domingo,Marzo,6,,1042,no
Lunes,Marzo,7,,5313,si
Martes,Marzo,7,,5212,no
Miércoles,Marzo,7,,5045,si
Jueves,Marzo,7,,5098,si
Viernes,Marzo,7,,5214,no
Sábado,Marzo,7,,1532,no
Domingo,Marzo,7,,1190,no
Lunes,Marzo,8,,9230,si
Martes,Marzo,8,,9091,no
Miércoles,Marzo,8,,8730,si
Jueves,Marzo,8,,9267,si
Viernes,Marzo,8,,9104,no
Sábado,Marzo,8,,2541,no
Domingo,Marzo,8,,1389,no
Lunes,Marzo,9,,9854,si
Martes,Marzo,9,,9998,no
Miércoles,Marzo,9,,9604,si
Jueves,Marzo,9,,9866,si
Viernes,Marzo,9,,9807,no
Sábado,Marzo,9,,4189,no
Domingo,Marzo,9,,2133,no
Lunes,Marzo,10,,7660,si
Martes,Marzo,10,,8202,no
Miércoles,Marzo,10,,8073,si
Jueves,Marzo,10,,8351,si
Viernes,Marzo,10,,8357,no
Sábado,Marzo,10,,6011,no
Domingo,Marzo,10,,3009,no
Lunes,Marzo,11,,7133,si
Martes,Marzo,11,,7470,no
Miércoles,Marzo,11,,8091,si
Jueves,Marzo,11,,7662,si
Viernes,Marzo,11,,7801,no
Sábado,Marzo,11,,6841,no
Domingo,Marzo,11,,4338,no
Lunes,Marzo,12,,7543,si
Martes,Marzo,12,,7362,no
Miércoles,Marzo,12,,7565,si
Jueves,Marzo,12,,7624,si
Viernes,Marzo,12,,8041,no
Sábado,Marzo,12,,7551,no
Domingo,Marzo,12,,5546,no
Lunes,Marzo,13,,7547,si
Martes,Marzo,13,,7560,no
Miércoles,Marzo,13,,8105,si
Jueves,Marzo,13,,8236,si
Viernes,Marzo,13,,8674,no
Sábado,Marzo,13,,8152,no
Domingo,Marzo,13,,6473,no
Lunes,Marzo,14,,8333,si
Martes,Marzo,14,,8622,no
Miércoles,Marzo,14,,9225,si
Jueves,Marzo,14,,9339,si
Viernes,Marzo,14,,8613,no
Sábado,Marzo,14,,9396,no
Domingo,Marzo,14,,7514,no
Lunes,Marzo,15,,9508,si
Martes,Marzo,15,,9901,no
Miércoles,Marzo,15,,10388,si
Jueves,Marzo,15,,10193,si
Viernes,Marzo,15,,10334,no
Sábado,Marzo,15,,8405,no
Domingo,Marzo,15,,7114,no
Lunes,Marzo,16,,9487,si
Martes,Marzo,16,,9833,no
Miércoles,Marzo,16,,10046,si
Jueves,Marzo,16,,9975,si
Viernes,Marzo,16,,10479,no
Sábado,Marzo,16,,6273,no
Domingo,Marzo,16,,5416,no
Lunes,Marzo,17,,9078,si
Martes,Marzo,17,,9723,no
Miércoles,Marzo,17,,9555,si
Jueves,Marzo,17,,9794,si
Viernes,Marzo,17,,10006,no
Sábado,Marzo,17,,6476,no
Domingo,Marzo,17,,5453,no
Lunes,Marzo,18,,8598,si
Martes,Marzo,18,,9628,no
Miércoles,Marzo,18,,10130,si
Jueves,Marzo,18,,9132,si
Viernes,Marzo,18,,9826,no
Sábado,Marzo,18,,7768,no
Domingo,Marzo,18,,6495,no
Lunes,Marzo,19,,8944,si
Martes,Marzo,19,,8990,no
Miércoles,Marzo,19,,9245,si
Jueves,Marzo,19,,9052,si
Viernes,Marzo,19,,9636,no
Sábado,Marzo,19,,7828,no
Domingo,Marzo,19,,7273,no
Lunes,Marzo,20,,7492,si
Martes,Marzo,20,,7460,no
Miércoles,Marzo,20,,7651,si
Jueves,Marzo,20,,8244,si
Viernes,Marzo,20,,8704,no
Sábado,Marzo,20,,7720,no
Domingo,Marzo,20,,6119,no
Lunes,Marzo,21,,5999,si
Martes,Marzo,21,,6290,no
Miércoles,Marzo,21,,6333,si
Jueves,Marzo,21,,7096,si
Viernes,Marzo,21,,8194,no
Sábado,Marzo,21,,7251,no
Domingo,Marzo,21,,4461,no
Lunes,Marzo,22,,4181,si
Martes,Marzo,22,,4184,no
Miércoles,Marzo,22,,4280,si
Jueves,Marzo,22,,4491,si
Viernes,Marzo,22,,5712,no
Sábado,Marzo,22,,6236,no
Domingo,Marzo,22,,3297,no
Lunes,Marzo,23,,2502,si
Martes,Marzo,23,,2701,no
Miércoles,Marzo,23,,2885,si
Jueves,Marzo,23,,3045,si
Viernes,Marzo,23,,3979,no
Sábado,Marzo,23,,4664,no
Domingo,Marzo,23,,2295,no
Lunes,Marzo,24,,954,si
Martes,Marzo,24,,996,no
Miércoles,Marzo,24,,1102,si
Jueves,Marzo,24,,1349,si
Viernes,Marzo,24,,2219,no
Sábado,Marzo,24,,2685,no
Domingo,Marzo,24,,1051,no
Lunes,Marzo,1,Laboral,554,no
Martes,Marzo,1,Laboral,641,no
Miércoles,Marzo,1,Laboral,703,si
Jueves,Marzo,1,Laboral,762,si
Viernes,Abril,1,Laboral,574,si
Sábado,Abril,1,Víspera,754,no
Domingo,Abril,1,Festivo,1526,si
Lunes,Marzo,2,Laboral,321,no
Martes,Marzo,2,Laboral,329,no
Miércoles,Marzo,2,Laboral,394,si
Jueves,Marzo,2,Laboral,447,si
Viernes,Abril,2,Laboral,364,si
Sábado,Abril,2,Víspera,393,no
Domingo,Abril,2,Festivo,685,si
Lunes,Marzo,3,Laboral,187,no
Martes,Marzo,3,Laboral,214,no
Miércoles,Marzo,3,Laboral,213,si
Jueves,Marzo,3,Laboral,196,si
Viernes,Abril,3,Laboral,234,si
Sábado,Abril,3,Víspera,228,no
Domingo,Abril,3,Festivo,280,si
Lunes,Marzo,4,Laboral,177,no
Martes,Marzo,4,Laboral,249,no
Miércoles,Marzo,4,Laboral,201,si
Jueves,Marzo,4,Laboral,195,si
Viernes,Abril,4,Laboral,184,si
Sábado,Abril,4,Víspera,184,no
Domingo,Abril,4,Festivo,250,si
Lunes,Marzo,5,Laboral,357,no
Martes,Marzo,5,Laboral,393,no
Miércoles,Marzo,5,Laboral,388,si
Jueves,Marzo,5,Laboral,414,si
Viernes,Abril,5,Laboral,273,si
Sábado,Abril,5,Víspera,327,no
Domingo,Abril,5,Festivo,425,si
Lunes,Marzo,6,Laboral,1021,no
Martes,Marzo,6,Laboral,1485,no
Miércoles,Marzo,6,Laboral,1427,si
Jueves,Marzo,6,Laboral,1433,si
Viernes,Abril,6,Laboral,825,si
Sábado,Abril,6,Víspera,1189,no
Domingo,Abril,6,Festivo,1590,si
Lunes,Marzo,7,Laboral,3966,no
Martes,Marzo,7,Laboral,5188,no
Miércoles,Marzo,7,Laboral,5277,si
Jueves,Marzo,7,Laboral,5153,si
Viernes,Abril,7,Laboral,1341,si
Sábado,Abril,7,Víspera,4535,no
Domingo,Abril,7,Festivo,5247,si
Lunes,Marzo,8,Laboral,6606,no
Martes,Marzo,8,Laboral,8985,no
Miércoles,Marzo,8,Laboral,8935,si
Jueves,Marzo,8,Laboral,9196,si
Viernes,Abril,8,Laboral,766,si
Sábado,Abril,8,Víspera,5697,no
Domingo,Abril,8,Festivo,7036,si
Lunes,Marzo,9,Laboral,3852,no
Martes,Marzo,9,Laboral,8325,no
Miércoles,Marzo,9,Laboral,9801,si
Jueves,Marzo,9,Laboral,9617,si
Viernes,Abril,9,Laboral,358,si
Sábado,Abril,9,Víspera,2392,no
Domingo,Abril,9,Festivo,5036,si
Lunes,Marzo,10,Laboral,2870,no
Martes,Marzo,10,Laboral,7937,no
Miércoles,Marzo,10,Laboral,8150,si
Jueves,Marzo,10,Laboral,8631,si
Viernes,Abril,10,Laboral,1363,si
Sábado,Abril,10,Víspera,3138,no
Domingo,Abril,10,Festivo,5749,si
Lunes,Marzo,11,Laboral,2686,no
Martes,Marzo,11,Laboral,7317,no
Miércoles,Marzo,11,Laboral,7692,si
Jueves,Marzo,11,Laboral,7778,si
Viernes,Abril,11,Laboral,1517,si
Sábado,Abril,11,Víspera,3629,no
Domingo,Abril,11,Festivo,5541,si
Lunes,Marzo,12,Laboral,3639,no
Martes,Marzo,12,Laboral,7086,no
Miércoles,Marzo,12,Laboral,7819,si
Jueves,Marzo,12,Laboral,7693,si
Viernes,Abril,12,Laboral,2021,si
Sábado,Abril,12,Víspera,3838,no
Domingo,Abril,12,Festivo,6184,si
Lunes,Marzo,13,Laboral,3367,no
Martes,Marzo,13,Laboral,6398,no
Miércoles,Marzo,13,Laboral,7980,si
Jueves,Marzo,13,Laboral,7941,si
Viernes,Abril,13,Laboral,2324,si
Sábado,Abril,13,Víspera,3831,no
Domingo,Abril,13,Festivo,6205,si
Lunes,Marzo,14,Laboral,2847,no
Martes,Marzo,14,Laboral,5430,no
Miércoles,Marzo,14,Laboral,8866,si
Jueves,Marzo,14,Laboral,9356,si
Viernes,Abril,14,Laboral,2775,si
Sábado,Abril,14,Víspera,3665,no
Domingo,Abril,14,Festivo,6691,si
Lunes,Marzo,15,Laboral,2968,no
Martes,Marzo,15,Laboral,5911,no
Miércoles,Marzo,15,Laboral,9560,si
Jueves,Marzo,15,Laboral,10435,si
Viernes,Abril,15,Laboral,2459,si
Sábado,Abril,15,Víspera,3249,no
Domingo,Abril,15,Festivo,7235,si
Lunes,Marzo,16,Laboral,2768,no
Martes,Marzo,16,Laboral,6380,no
Miércoles,Marzo,16,Laboral,9487,si
Jueves,Marzo,16,Laboral,10254,si
Viernes,Abril,16,Laboral,1814,si
Sábado,Abril,16,Víspera,3153,no
Domingo,Abril,16,Festivo,6763,si
Lunes,Marzo,17,Laboral,2959,no
Martes,Marzo,17,Laboral,6447,no
Miércoles,Marzo,17,Laboral,9283,si
Jueves,Marzo,17,Laboral,9926,si
Viernes,Abril,17,Laboral,1486,si
Sábado,Abril,17,Víspera,2981,no
Domingo,Abril,17,Festivo,5792,si
Lunes,Marzo,18,Laboral,287,no
Martes,Marzo,18,Laboral,8773,no
Miércoles,Marzo,18,Laboral,9820,si
Jueves,Marzo,18,Laboral,10365,si
Viernes,Abril,18,Laboral,2110,si
Sábado,Abril,18,Víspera,3141,no
Domingo,Abril,18,Festivo,6426,si
Lunes,Marzo,19,Laboral,8298,no
Martes,Marzo,19,Laboral,8174,no
Miércoles,Marzo,19,Laboral,9087,si
Jueves,Marzo,19,Laboral,9418,si
Viernes,Abril,19,Laboral,2383,si
Sábado,Abril,19,Víspera,2575,no
Domingo,Abril,19,Festivo,8746,si
Lunes,Marzo,20,Laboral,6847,no
Martes,Marzo,20,Laboral,7251,no
Miércoles,Marzo,20,Laboral,7561,si
Jueves,Marzo,20,Laboral,8349,si
Viernes,Abril,20,Laboral,6139,si
Sábado,Abril,20,Víspera,6794,no
Domingo,Abril,20,Festivo,8951,si
Lunes,Marzo,21,Laboral,5675,no
Martes,Marzo,21,Laboral,5952,no
Miércoles,Marzo,21,Laboral,6278,si
Jueves,Marzo,21,Laboral,7010,si
Viernes,Abril,21,Laboral,5779,si
Sábado,Abril,21,Víspera,6784,no
Domingo,Abril,21,Festivo,7914,si
Lunes,Marzo,22,Laboral,3742,no
Martes,Marzo,22,Laboral,3957,no
Miércoles,Marzo,22,Laboral,4210,si
Jueves,Marzo,22,Laboral,4685,si
Viernes,Abril,22,Laboral,3650,si
Sábado,Abril,22,Víspera,4315,no
Domingo,Abril,22,Festivo,6209,si
Lunes,Marzo,23,Laboral,2438,no
Martes,Marzo,23,Laboral,2715,no
Miércoles,Marzo,23,Laboral,2970,si
Jueves,Marzo,23,Laboral,3200,si
Viernes,Abril,23,Laboral,2456,si
Sábado,Abril,23,Víspera,3146,no
Domingo,Abril,23,Festivo,3979,si
Lunes,Marzo,24,Laboral,965,no
Martes,Marzo,24,Laboral,1113,no
Miércoles,Marzo,24,Laboral,1093,si
Jueves,Marzo,24,Laboral,1406,si
Viernes,Abril,24,Laboral,822,si
Sábado,Abril,24,Víspera,1250,no
Domingo,Abril,24,Festivo,2129,si
Lunes,Abril,1,Laboral,1714,si
Martes,Abril,1,Laboral,2174,si
Miércoles,Abril,1,Laboral,574,si
Jueves,Abril,1,Laboral,621,si
Viernes,Abril,1,Laboral,683,no
Sábado,Abril,1,Víspera,808,no
Domingo,Abril,1,Festivo,907,si
Lunes,Abril,2,Laboral,1137,si
Martes,Abril,2,Laboral,1195,si
Miércoles,Abril,2,Laboral,364,si
Jueves,Abril,2,Laboral,346,si
Viernes,Abril,2,Laboral,375,no
Sábado,Abril,2,Víspera,376,no
Domingo,Abril,2,Festivo,570,si
Lunes,Abril,3,Laboral,657,si
Martes,Abril,3,Laboral,802,si
Miércoles,Abril,3,Laboral,234,si
Jueves,Abril,3,Laboral,213,si
Viernes,Abril,3,Laboral,222,no
Sábado,Abril,3,Víspera,197,no
Domingo,Abril,3,Festivo,328,si
Lunes,Abril,4,Laboral,475,si
Martes,Abril,4,Laboral,532,si
Miércoles,Abril,4,Laboral,184,si
Jueves,Abril,4,Laboral,218,si
Viernes,Abril,4,Laboral,198,no
Sábado,Abril,4,Víspera,185,no
Domingo,Abril,4,Festivo,254,si
Lunes,Abril,5,Laboral,450,si
Martes,Abril,5,Laboral,493,si
Miércoles,Abril,5,Laboral,273,si
Jueves,Abril,5,Laboral,404,si
Viernes,Abril,5,Laboral,363,no
Sábado,Abril,5,Víspera,391,no
Domingo,Abril,5,Festivo,441,si
Lunes,Abril,6,Laboral,994,si
Martes,Abril,6,Laboral,864,si
Miércoles,Abril,6,Laboral,825,si
Jueves,Abril,6,Laboral,1206,si
Viernes,Abril,6,Laboral,1228,no
Sábado,Abril,6,Víspera,1277,no
Domingo,Abril,6,Festivo,1421,si
Lunes,Abril,7,Laboral,1501,si
Martes,Abril,7,Laboral,927,si
Miércoles,Abril,7,Laboral,1341,si
Jueves,Abril,7,Laboral,4399,si
Viernes,Abril,7,Laboral,4791,no
Sábado,Abril,7,Víspera,4837,no
Domingo,Abril,7,Festivo,4716,si
Lunes,Abril,8,Laboral,2544,si
Martes,Abril,8,Laboral,1448,si
Miércoles,Abril,8,Laboral,766,si
Jueves,Abril,8,Laboral,5428,si
Viernes,Abril,8,Laboral,8807,no
Sábado,Abril,8,Víspera,8747,no
Domingo,Abril,8,Festivo,8799,si
Lunes,Abril,9,Laboral,4333,si
Martes,Abril,9,Laboral,2279,si
Miércoles,Abril,9,Laboral,358,si
Jueves,Abril,9,Laboral,1915,si
Viernes,Abril,9,Laboral,9883,no
Sábado,Abril,9,Víspera,9443,no
Domingo,Abril,9,Festivo,9724,si
Lunes,Abril,10,Laboral,5895,si
Martes,Abril,10,Laboral,3183,si
Miércoles,Abril,10,Laboral,1363,si
Jueves,Abril,10,Laboral,1611,si
Viernes,Abril,10,Laboral,5960,no
Sábado,Abril,10,Víspera,6323,no
Domingo,Abril,10,Festivo,8057,si
Lunes,Abril,11,Laboral,7015,si
Martes,Abril,11,Laboral,4379,si
Miércoles,Abril,11,Laboral,1517,si
Jueves,Abril,11,Laboral,5088,si
Viernes,Abril,11,Laboral,5678,no
Sábado,Abril,11,Víspera,5199,no
Domingo,Abril,11,Festivo,7314,si
Lunes,Abril,12,Laboral,7940,si
Martes,Abril,12,Laboral,5784,si
Miércoles,Abril,12,Laboral,2021,si
Jueves,Abril,12,Laboral,6274,si
Viernes,Abril,12,Laboral,6063,no
Sábado,Abril,12,Víspera,5190,no
Domingo,Abril,12,Festivo,7635,si
Lunes,Abril,13,Laboral,7974,si
Martes,Abril,13,Laboral,6180,si
Miércoles,Abril,13,Laboral,2324,si
Jueves,Abril,13,Laboral,6329,si
Viernes,Abril,13,Laboral,6561,no
Sábado,Abril,13,Víspera,3003,no
Domingo,Abril,13,Festivo,8175,si
Lunes,Abril,14,Laboral,9257,si
Martes,Abril,14,Laboral,7118,si
Miércoles,Abril,14,Laboral,2775,si
Jueves,Abril,14,Laboral,7160,si
Viernes,Abril,14,Laboral,6293,no
Sábado,Abril,14,Víspera,6732,no
Domingo,Abril,14,Festivo,9703,si
Lunes,Abril,15,Laboral,8322,si
Martes,Abril,15,Laboral,6603,si
Miércoles,Abril,15,Laboral,2459,si
Jueves,Abril,15,Laboral,7233,si
Viernes,Abril,15,Laboral,6594,no
Sábado,Abril,15,Víspera,6365,no
Domingo,Abril,15,Festivo,11209,si
Lunes,Abril,16,Laboral,6385,si
Martes,Abril,16,Laboral,4783,si
Miércoles,Abril,16,Laboral,1814,si
Jueves,Abril,16,Laboral,8727,si
Viernes,Abril,16,Laboral,6674,no
Sábado,Abril,16,Víspera,6352,no
Domingo,Abril,16,Festivo,10562,si
Lunes,Abril,17,Laboral,6756,si
Martes,Abril,17,Laboral,5207,si
Miércoles,Abril,17,Laboral,1486,si
Jueves,Abril,17,Laboral,9177,si
Viernes,Abril,17,Laboral,6453,no
Sábado,Abril,17,Víspera,6915,no
Domingo,Abril,17,Festivo,9203,si
Lunes,Abril,18,Laboral,7767,si
Martes,Abril,18,Laboral,6077,si
Miércoles,Abril,18,Laboral,2110,si
Jueves,Abril,18,Laboral,9683,si
Viernes,Abril,18,Laboral,7360,no
Sábado,Abril,18,Víspera,8329,no
Domingo,Abril,18,Festivo,9266,si
Lunes,Abril,19,Laboral,7744,si
Martes,Abril,19,Laboral,6756,si
Miércoles,Abril,19,Laboral,2383,si
Jueves,Abril,19,Laboral,8693,si
Viernes,Abril,19,Laboral,6897,no
Sábado,Abril,19,Víspera,8876,no
Domingo,Abril,19,Festivo,8920,si
Lunes,Abril,20,Laboral,7373,si
Martes,Abril,20,Laboral,6847,si
Miércoles,Abril,20,Laboral,6139,si
Jueves,Abril,20,Laboral,7928,si
Viernes,Abril,20,Laboral,7565,no
Sábado,Abril,20,Víspera,8125,no
Domingo,Abril,20,Festivo,8622,si
Lunes,Abril,21,Laboral,6788,si
Martes,Abril,21,Laboral,5865,si
Miércoles,Abril,21,Laboral,5779,si
Jueves,Abril,21,Laboral,6715,si
Viernes,Abril,21,Laboral,7040,no
Sábado,Abril,21,Víspera,7095,no
Domingo,Abril,21,Festivo,8101,si
Lunes,Abril,22,Laboral,6511,si
Martes,Abril,22,Laboral,3610,si
Miércoles,Abril,22,Laboral,3650,si
Jueves,Abril,22,Laboral,4805,si
Viernes,Abril,22,Laboral,4980,no
Sábado,Abril,22,Víspera,5070,no
Domingo,Abril,22,Festivo,6627,si
Lunes,Abril,23,Laboral,3868,si
Martes,Abril,23,Laboral,2421,si
Miércoles,Abril,23,Laboral,2456,si
Jueves,Abril,23,Laboral,2958,si
Viernes,Abril,23,Laboral,3230,no
Sábado,Abril,23,Víspera,3296,no
Domingo,Abril,23,Festivo,4155,si
Lunes,Abril,24,Laboral,2041,si
Martes,Abril,24,Laboral,935,si
Miércoles,Abril,24,Laboral,822,si
Jueves,Abril,24,Laboral,1490,si
Viernes,Abril,24,Laboral,1613,no
Sábado,Abril,24,Víspera,1941,no
Domingo,Abril,24,Festivo,2779,si
Lunes,Abril,1,,2038,no
Martes,Abril,1,,1969,si
Miércoles,Abril,1,,725,si
Jueves,Abril,1,,607,no
Viernes,Abril,1,,782,no
Sábado,Abril,1,,762,no
Domingo,Abril,1,,899,si
Lunes,Abril,2,,1240,no
Martes,Abril,2,,1288,si
Miércoles,Abril,2,,356,si
Jueves,Abril,2,,356,no
Viernes,Abril,2,,360,no
Sábado,Abril,2,,383,no
Domingo,Abril,2,,516,si
Lunes,Abril,3,,657,no
Martes,Abril,3,,764,si
Miércoles,Abril,3,,217,si
Jueves,Abril,3,,215,no
Viernes,Abril,3,,183,no
Sábado,Abril,3,,232,no
Domingo,Abril,3,,266,si
Lunes,Abril,4,,470,no
Martes,Abril,4,,527,si
Miércoles,Abril,4,,182,si
Jueves,Abril,4,,219,no
Viernes,Abril,4,,197,no
Sábado,Abril,4,,192,no
Domingo,Abril,4,,287,si
Lunes,Abril,5,,409,no
Martes,Abril,5,,505,si
Miércoles,Abril,5,,324,si
Jueves,Abril,5,,371,no
Viernes,Abril,5,,394,no
Sábado,Abril,5,,322,no
Domingo,Abril,5,,437,si
Lunes,Abril,6,,907,no
Martes,Abril,6,,722,si
Miércoles,Abril,6,,1362,si
Jueves,Abril,6,,1359,no
Viernes,Abril,6,,1459,no
Sábado,Abril,6,,1281,no
Domingo,Abril,6,,1355,si
Lunes,Abril,7,,1329,no
Martes,Abril,7,,980,si
Miércoles,Abril,7,,4989,si
Jueves,Abril,7,,4755,no
Viernes,Abril,7,,4894,no
Sábado,Abril,7,,4855,no
Domingo,Abril,7,,4861,si
Lunes,Abril,8,,2296,no
Martes,Abril,8,,1357,si
Miércoles,Abril,8,,8616,si
Jueves,Abril,8,,8780,no
Viernes,Abril,8,,8845,no
Sábado,Abril,8,,8786,no
Domingo,Abril,8,,8628,si
Lunes,Abril,9,,4044,no
Martes,Abril,9,,2148,si
Miércoles,Abril,9,,8850,si
Jueves,Abril,9,,9112,no
Viernes,Abril,9,,9260,no
Sábado,Abril,9,,9360,no
Domingo,Abril,9,,9579,si
Lunes,Abril,10,,5524,no
Martes,Abril,10,,2786,si
Miércoles,Abril,10,,8341,si
Jueves,Abril,10,,6015,no
Viernes,Abril,10,,5590,no
Sábado,Abril,10,,6550,no
Domingo,Abril,10,,6702,si
Lunes,Abril,11,,6333,no
Martes,Abril,11,,4296,si
Miércoles,Abril,11,,6901,si
Jueves,Abril,11,,6416,no
Viernes,Abril,11,,4300,no
Sábado,Abril,11,,5782,no
Domingo,Abril,11,,6385,si
Lunes,Abril,12,,7223,no
Martes,Abril,12,,5794,si
Miércoles,Abril,12,,7265,si
Jueves,Abril,12,,4815,no
Viernes,Abril,12,,5451,no
Sábado,Abril,12,,5603,no
Domingo,Abril,12,,6650,si
Lunes,Abril,13,,7660,no
Martes,Abril,13,,6080,si
Miércoles,Abril,13,,7554,si
Jueves,Abril,13,,4703,no
Viernes,Abril,13,,6823,no
Sábado,Abril,13,,6109,no
Domingo,Abril,13,,6334,si
Lunes,Abril,14,,8236,no
Martes,Abril,14,,7120,si
Miércoles,Abril,14,,8622,si
Jueves,Abril,14,,5509,no
Viernes,Abril,14,,8072,no
Sábado,Abril,14,,7178,no
Domingo,Abril,14,,7266,si
Lunes,Abril,15,,7451,no
Martes,Abril,15,,6619,si
Miércoles,Abril,15,,9625,si
Jueves,Abril,15,,5883,no
Viernes,Abril,15,,8912,no
Sábado,Abril,15,,7579,no
Domingo,Abril,15,,8406,si
Lunes,Abril,16,,5686,no
Martes,Abril,16,,4712,si
Miércoles,Abril,16,,9405,si
Jueves,Abril,16,,7265,no
Viernes,Abril,16,,8793,no
Sábado,Abril,16,,7200,no
Domingo,Abril,16,,9347,si
Lunes,Abril,17,,6357,no
Martes,Abril,17,,5245,si
Miércoles,Abril,17,,9187,si
Jueves,Abril,17,,9173,no
Viernes,Abril,17,,8140,no
Sábado,Abril,17,,6890,no
Domingo,Abril,17,,9276,si
Lunes,Abril,18,,7052,no
Martes,Abril,18,,6368,si
Miércoles,Abril,18,,9472,si
Jueves,Abril,18,,9554,no
Viernes,Abril,18,,8921,no
Sábado,Abril,18,,7722,no
Domingo,Abril,18,,9067,si
Lunes,Abril,19,,7063,no
Martes,Abril,19,,6220,si
Miércoles,Abril,19,,8737,si
Jueves,Abril,19,,8449,no
Viernes,Abril,19,,8690,no
Sábado,Abril,19,,7631,no
Domingo,Abril,19,,8872,si
Lunes,Abril,20,,6848,no
Martes,Abril,20,,6350,si
Miércoles,Abril,20,,7739,si
Jueves,Abril,20,,7197,no
Viernes,Abril,20,,7981,no
Sábado,Abril,20,,7872,no
Domingo,Abril,20,,7952,si
Lunes,Abril,21,,6721,no
Martes,Abril,21,,5482,si
Miércoles,Abril,21,,6199,si
Jueves,Abril,21,,5290,no
Viernes,Abril,21,,6668,no
Sábado,Abril,21,,7262,no
Domingo,Abril,21,,8125,si
Lunes,Abril,22,,6328,no
Martes,Abril,22,,4284,si
Miércoles,Abril,22,,4161,si
Jueves,Abril,22,,4021,no
Viernes,Abril,22,,4743,no
Sábado,Abril,22,,5184,no
Domingo,Abril,22,,6315,si
Lunes,Abril,23,,3992,no
Martes,Abril,23,,2635,si
Miércoles,Abril,23,,2634,si
Jueves,Abril,23,,2788,no
Viernes,Abril,23,,3163,no
Sábado,Abril,23,,3237,no
Domingo,Abril,23,,3998,si
Lunes,Abril,24,,2660,no
Martes,Abril,24,,1432,si
Miércoles,Abril,24,,1266,si
Jueves,Abril,24,,1283,no
Viernes,Abril,24,,1468,no
Sábado,Abril,24,,1846,no
Domingo,Abril,24,,2618,si
Lunes,Abril,1,,1755,si
Martes,Abril,1,,1966,si
Miércoles,Abril,1,,638,no
Jueves,Abril,1,,608,no
Viernes,Abril,1,,610,si
Sábado,Abril,1,,679,si
Domingo,Abril,1,,956,no
Lunes,Abril,2,,1122,si
Martes,Abril,2,,1288,si
Miércoles,Abril,2,,306,no
Jueves,Abril,2,,325,no
Viernes,Abril,2,,316,si
Sábado,Abril,2,,369,si
Domingo,Abril,2,,481,no
Lunes,Abril,3,,703,si
Martes,Abril,3,,761,si
Miércoles,Abril,3,,175,no
Jueves,Abril,3,,221,no
Viernes,Abril,3,,195,si
Sábado,Abril,3,,247,si
Domingo,Abril,3,,263,no
Lunes,Abril,4,,489,si
Martes,Abril,4,,634,si
Miércoles,Abril,4,,158,no
Jueves,Abril,4,,190,no
Viernes,Abril,4,,185,si
Sábado,Abril,4,,180,si
Domingo,Abril,4,,235,no
Lunes,Abril,5,,462,si
Martes,Abril,5,,546,si
Miércoles,Abril,5,,340,no
Jueves,Abril,5,,370,no
Viernes,Abril,5,,375,si
Sábado,Abril,5,,326,si
Domingo,Abril,5,,415,no
Lunes,Abril,6,,884,si
Martes,Abril,6,,787,si
Miércoles,Abril,6,,1307,no
Jueves,Abril,6,,1385,no
Viernes,Abril,6,,1299,si
Sábado,Abril,6,,1278,si
Domingo,Abril,6,,1374,no
Lunes,Abril,7,,1309,si
Martes,Abril,7,,995,si
Miércoles,Abril,7,,4950,no
Jueves,Abril,7,,4776,no
